ID_producto	Descripcion
201015	PAVA ELECTRICA ACERO REF BS1083,
201016	REMERA
201017	REMERA
201018	REMERA
201019	REMERA
20102	CAFFARENA
201020	REMERA
201021	PANTALONETA
201022	PANTALONETA
201023	PANTALONETA
201024	REMERA
201025	REMERA
201026	REMERA
201027	REMERA
201028	PLATO
201029	BOWL
201030	PLATO
201031	PLATO
201032	PLATO
201033	PLATO
201034	PLATO
201035	PLATO
201036	PLATO
201037	PLATO
201038	PLATO
201039	TABLA
201040	BOLSO
201041	BABEROS
201042	BOLSA
201043	PAÑO
201044	ALFOMBRA
201045	ALFOMBRA
201046	ALFOMBRA
201047	ALMOHADITA
201048	COSTURERO
201049	ALFOMBRA
201063	CAMISA
201064	CAMISA
201065	FINOS
201066	FINOS
201067	CAMISA
201068	CAMISA
201069	CAMISA
20107	COPALSA
201070	CAMISA
201071	CAMISA
201072	CAMISA
201073	CAMISA
201074	CAMISA
201075	CAMISA
201076	CAMISA
201077	CAMISA
201078	CAMISA
201079	CAMISA
201080	CAMISA
201081	FINOS
201082	CAMISA
201083	CAMISA
201084	CAMISA
201085	CAMISA
201086	CAMISA
201087	CAMISA
201088	CAMISA
201089	CAMISA
20109	CAFFARENA
201090	CAMISA
201091	CAMISA
201092	CAMISA
201093	CAMISA
201094	CAMISA
201095	CAMISA
201096	CAMISA
201097	CAMISA
201098	CAMISA
201099	CAMISA
2011	VELAS
20110	CAFFARENA
201100	SABANA
201101	SABANA
201102	SABANA
201104	SABANA
201105	SABANA
201106	SABANA
20111	CAFFARENA
201111	TOALLA
201112	TOALLA INDU PESADA DE MANO LISA,
201113	FRAZADA
20112	CAFFARENA
20113	CAFFARENA
20114	CAFFARENA
20115	CAFFARENA
201166	MEDIA
2012	CUADRITO
20120	CT
201200	REMERA
201201	REMERA
201202	REMERA
201203	POLAR LISO LS 1,60 A
201204	POLAR
201205	CONJUNTO
201206	CONJUNTO
201207	REMERA
201208	REMERA
201209	REMERA
20121	LUCERO VELA PAAFINA N°7 LILA *7DIAS *12,
201210	REMERA
201211	REMERA
201212	REMERA
201213	REMERA
201214	MEDIA
201215	MEDIA
201216	MEDIA
20121707	COMBO
20122	CHAMPIÑON ENTERO DE PRIMAVERA EN CONSERVA 2,5KG*6
20123	CAFFARENA
201230	SET
2012352	ARTHI
2012353	TAUMER
2012354	ARTHI
2012355	ARTHI
20124	WHEATON
2012414	MALETA
20126	SIMONAGGIO
20127	SIMONAGGIO
20128	PULCERA
2013	ZANDALIA
20130	CT
201300	FRAZADA
201301	ALPARGATA
201302	PANTUFLA
20131	CT
20132	MEXBRAS
2013240	CROSSACTION
